Building Name,Elevator,#AccessibleEntrances,Access,Additional Info
Singleton,Yes,1,Fully,
Maida,Yes,1,Fully,
Hitch,Yes,1,Fully,
Taylor,No,1,Partial,One of 3 accessible freshman dorms. Can only access floor enterance is on
M&M,No,1,Partial,One of 3 accessible freshman dorms. Can only access floor enterance is on
Johnson,No,2,Partial,Can enter floor 1 from enterance on Sayre Drive. Can enter floor 3 from enterance on University Drive. Cannot access second floor. 
Drown,No,0,Inaccessible,"Cannot access Math and Writing Center, located on 1st floor of Drown"
Coppee,Yes,1,Fully,
Linderman,Yes,1,Fully,No button to automatically open both doors that must go through. Wheelchair lift must be used to enter building. No nearby parking
Williams Hall,Yes,1,Fully,Has Wheelchair Lift to get to first floor
Taylor Gym,Yes,2,Fully,
Lewis Lab,Yes,2,Fully,
Wilber,Yes,1,Fully,Long windy trek to get to the front door. See additional info on cases page.
Fritz Lab,Yes,0,Inaccessible,"Has an elevator, but cannot get into the building unless Bay doors are open. The door by the handicap parking spot leads directly to a set of stairs."
Chandler Ulman,Yes,1,Fully,Wheelchair lift to enter building
Packard ,Yes,1,Partial,"Cannot access parts of the bottom floor including the Sunlab, where computer science labs are held. Cannot access the 6th floor. Can access floors 2-5 from single accessible enterence"
Mohler,Yes,1,Fully,Extremely high curb outside of enterence
STEPS,Yes,1,Fully,
Maginess,Yes,2,Fully,
FML,Yes,2,Fully,From the enterence near Asa Drive there is a hidden elevator. See our building cases page for more information
Rauch,Yes,2,Fully,
Computing Center,Yes,1,Partial,"Cannot access part of floor 1, including the computer repair center"
Whitaker,Yes,2,Partial,"From the front enterance on E Packer Ave, you can only get to Auditorium 303. From the back enterence on Asa Dr. you can get to the rest of the building. Cannot get to basement auditorium "
Digital Media Studio,No,1,Fully,
Neville,No,2,Fully,Restrooms on lower floor which can only be accessed from another external door
Mudd,Yes,1,Fully,
Sinclair,Yes,1,Fully,
HST,Yes,3,Fully,
Coxe,No,1,Partially,Only access first floor
Dravo,No,0,Inaccessible,One of 20 inaccessible freshman dorm buildings
Drinker,No,0,Inaccessible,One of 20 inaccessible freshman dorm buildings
Richards,No,0,Inaccessible,One of 20 inaccessible freshman dorm buildings
Congdon,No,0,Inaccessible,One of 20 inaccessible freshman dorm buildings
Emery,No,0,Inaccessible,One of 20 inaccessible freshman dorm buildings
Leavitt,No,0,Inaccessible,One of 20 inaccessible freshman dorm buildings
McConn,No,0,Inaccessible,One of 20 inaccessible freshman dorm buildings
Smiley,No,0,Inaccessible,One of 20 inaccessible freshman dorm buildings
Thornburg,No,0,Inaccessible,One of 20 inaccessible freshman dorm buildings
Beardslee,No,0,Inaccessible,One of 20 inaccessible freshman dorm buildings
Carothers,No,0,Inaccessible,One of 20 inaccessible freshman dorm buildings
Palmer,No,0,Inaccessible,One of 20 inaccessible freshman dorm buildings
Stevens,No,1,Partially,One of 3 accessible freshman dorms. Can only access floor enterance is on
Stoughton,No,0,Inaccessible,One of 20 inaccessible freshman dorm buildings
Williams,No,0,Inaccessible,One of 20 inaccessible freshman dorm buildings
Lamberton,Yes,2,Fully,
Rathbone,N/A,1,Fully,Must go through different enterance
